연번,시설명,소재지 도로명주소,전화번호,팩스번호,데이터기준일
1,행복의 집,경상북도 김천시 대항면 황악로 1522-10,054-435-6224,054-435-6223,2025-07-02
2,김천노인요양원,경상북도 김천시 대항면 황악로 1530-9,054-436-6225,054-436-7225,2025-07-02
3,월명성모의집 노인전문요양원,경상북도 김천시 남면 주천로 1448-16,054-435-8122,054-435-8226,2025-07-02
4,직지사노인요양원,경상북도 김천시 대항면 북암길 211,054-431-9800,054-436-3550,2025-07-02
5,본향원,경상북도 김천시 조마면 금감로 804-271,054-435-8880,054-435-8890,2025-07-02
6,김천실버빌,경상북도 김천시 어모면 용문산길 165-73,054-434-5920,054-433-3217,2025-07-02
7,참빛종합실버센터,경상북도 김천시 가메실길 8(부곡동),054-436-5744,054-433-4136,2025-07-02
8,소망요양원,경상북도 김천시 구성면 하강길 494,054-433-5355,054-433-5356,2025-07-02
9,천사의손길노인요양원,경상북도 김천시 구성면 하강길 471,054-436-0535,054-437-0535,2025-07-02
10,효사랑노인복지센터,경상북도 김천시 체육공원길 87(덕곡동),054-439-9700,054-439-9701,2025-07-02
11,효노인요양원,경상북도 김천시 감천면 광기3길 62-28,054-437-5055,054-435-1106,2025-07-02
12,행복한동행 노인요양원,경상북도 김천시 물망골길 57-42(삼락동),054-435-8835,054-435-8837,2025-07-02
13,한마음노인요양센터,경상북도 김천시 미곡길 154-3(백옥동),054-436-7377,054-431-2040,2025-07-02
14,잡은손 시니어홈,경상북도 김천시 자산로 108-1(성내동),054-432-2788,054-432-2789,2025-07-02
15,김천행복한요양원,경상북도 김천시 남면 초곡1길 105-69,054-431-7722,054-439-7755,2025-07-02
16,햇살요양원,경상북도 김천시 봉산면 덕천1길 207,054-430-9005,054-437-6766,2025-07-02
17,명심요양원,경상북도 김천시 어모면 구례길 151-36,054-431-2200,054-431-4600,2025-07-02
18,마루실버타운,경상북도 김천시 아포읍 금계길 43-18,054-430-8228,054-430-8229,2025-07-02
19,은혜의집,경상북도 김천시 구성면 송죽6길 109-119,054-436-1377,054-436-1378,2025-07-02
20,인덕요양원,경상북도 김천시 구성면 미평2길 95-23,054-435-7137,054-435-8388,2025-07-02
21,우리요양원,"경상북도 김천시 영남대로 1321 2,3층(백옥동)",054-436-4208,070-7209-6853,2025-07-02
22,김천실버케어노인요양원,"경상북도 김천시 평화3길 41, 1~3층(평화동)",054-439-1011,054-439-1012,2025-07-02
23,나이팅게일과천사들시니어빌,경상북도 김천시 시청1길 136-12(신음동),054-430-0099,054-430-0091,2025-07-02
24,내마음요양원,경상북도 김천시 양지마길 31-9(부곡동),054-433-5959,054-433-5939,2025-07-02
25,굿모닝실버빌,경상북도 김천시 황산 3길 53(지좌동),054-437-8200,054-436-2288,2025-07-02
26,미소가가득한집,경상북도 김천시 새터4길 55(양천동),054-435-1367,054-433-6368,2025-07-02
27,편안한 집,경상북도 김천시 감문면 감문로 875-1,054-436-5210,054-430-5102,2025-07-02
28,내고향실버타운,경상북도 김천시 아포읍 아포순환로 271,054-435-4491,0504-058-4491,2025-07-02
29,효누리실버타운,경상북도 김천시 농소면 남곡3길 43-33,054-434-6785,054-434-6786,2025-07-02
30,참사랑노인요양복지센터,경상북도 김천시 시민로 26(부곡동),054-430-2399,054-433-7353,2025-07-02
31,다사랑실버빌,경상북도 김천시 감문면 감문로 975-6,054-432-1366,054-432-6366,2025-07-02
32,삼성실버케어,경상북도 김천시 영남대로 1242(다수동),054-436-3052,054-436-3053,2025-07-02
33,만수무강요양원,경상북도 김천시 구성면 남김천대로 3296-14,054-434-6616,054-433-6616,2025-07-02
34,해피맘실버빌,경상북도 김천시 대항면 황악로 1371,054-432-6655,054-432-6657,2025-07-02
35,참조은노인요양원,경상북도 김천시 구성면 남김천대로 3296-12,054-435-2050,054-435-8107,2025-07-02
36,백세요양원,경상북도 김천시 어모면 금산길 10,054-432-6004,054-432-6003,2025-07-02
37,늘사랑요양원,경상북도 김천시 구성면 남김천대로 3296-16,054-431-8335,054-431-8336,2025-07-02
38,송천실버홈,경상북도 김천시 아포읍 숭산길 7,054-434-8252,054-434-1252,2025-07-02
