연번,경로당명,주소,연락처,해당동
1,신암1경로당,대구광역시 동구 신암북로7길 37 (신암동),053-943-2586,신암1동
2,제일경로당,대구광역시 동구 아양로11길 36-5 (신암동),053-958-0323,신암1동
3,새터경로당,대구광역시 동구 경대로 72 (신암동),053-959-9990,신암1동
4,안평경로당,대구광역시 동구 평화로 20-20 (신암동),053-959-1119,신암1동
5,신암1동뜨란채APT경로당,대구광역시 동구 아양로7길 12 (신암동),053-958-8903,신암1동
6,평화경로당,대구광역시 동구 아양로 65-67 (신암동),053-939-5799,신암1동
7,동대구에일린의뜰경로당,대구광역시 동구 아양로9길35(신암동),,신암1동
8,해링턴플레이스동대구경로당,"경대로 126, 115동(신암동, 해링턴플레이스동대구아파트) ",053-955-5556,신암1동
9,강남아파트경로당,대구광역시 동구 신성로 60 (신암동),053-959-8874,신암2동
10,신암2동경로당,대구광역시 동구 신성로 113-3 (신암동),053-957-7057,신암2동
11,신암그린타운경로당,대구광역시 동구 신성로 30 (신암동),053-951-6324,신암2동
12,신천가람타운경로당,대구광역시 동구 신암로16길 33 (신천동),053-944-0268,신암2동
13,신암청아람경로당,대구광역시 동구 신암로20길 39(신암동),,신암2동
14,신천자이아파트경로당,대구광역시 동구 신암로16길 25 (신천동),053-946-5596,신암2동
15,동대구더센트로데시앙경로당,대구광역시 동구 신암로20길 63(신암동),05-3952-0997,신암2동
16,신암3동경로당,대구광역시 동구 아양로8길 10-1 (신암동),053-959-9182,신암3동
17,신암건영캐스빌경로당,대구광역시 동구 신암남로 50 (신암동),,신암3동
18,이안동대구경로당,대구광역시 동구 송라로28길 14(신암동),,신암3동
19,이안센트럴D경로당,대구광역시 동구 동대구로 577(신암동),,신암3동
20,동대구우방아이유쉘경로당,대구광역시 동구 송라로32길 32(신암동),,신암3동
21,금오경로당,대구광역시 동구 아양로11길 65 (신암동),053-952-3325,신암4동
22,보성아파트경로당,대구광역시 동구 큰고개로 23 (신암동),053-942-9259,신암4동
23,성동경로당,대구광역시 동구 아양로34길 18-3 (신암동),053-945-1220,신암4동
24,에스디아이프라임아파트경로당,대구광역시 동구 아양로24길 13 (신암동),053-959-2323,신암4동
25,진로이스트타운2차경로당,대구광역시 동구 동북로 460 (신암동),,신암4동
26,동대구역화성파크드림아파트경로당,대구광역시 동구 동대구로 590(신암동),,신암4동
27,동대구해모로스퀘어웨스트경로당,"대구광역시 동북로 340(신암동,동대구해모로스퀘어웨스트)",,신암4동
28,동대구역센텀화성파크드림경로당,"아양로 133(신암동, 동대구역센텀화성파크드림)",,신암4동
29,금호정경로당,대구광역시 동구 아양로49길 77 (신암동),053-944-3622,신암5동
30,동서1차아파트경로당,대구광역시 동구 아양로39길 16 (신암동),,신암5동
31,동서2차아파트경로당,대구광역시 동구 아양로39길 20 (신암동),053-953-5677,신암5동
32,신암5동경로당,대구광역시 동구 동북로83길 25-2 (신암동),053-957-2127,신암5동
33,동서1차아파트할머니경로당,대구광역시 동구 아양로39길 16 (신암동),,신암5동
34,청기와아파트경로당,대구광역시 동구 아양로49길 20 (신암동),053-943-8664,신암5동
35,동대구해모로스퀘어이스트 경로당,대구광역시 동구 동북로75길 13 (신암동),,신암5동
36,동신우방아파트경로당,대구광역시 동구 송라로11길 86 (신천동),,신천1·2동
37,신일경로당,대구광역시 동구 국채보상로165길 3-1 (신천동),053-428-0048,신천1·2동
38,우방푸른타운경로당,대구광역시 동구 국채보상로159길 41 (신천동),053-421-6554,신천1·2동
39,신천2주공APT경로당,대구광역시 동구 국채보상로 155길 54 (신천동),053-423-7212,신천1·2동
40,송라경로당,대구광역시 동구 동부로3길 38 (신천동),070-8125-9805,신천1·2동
41,신천LH경로당,대구광역시 동구 동부로 1 (신천동),053-423-3430,신천1·2동
42,신천경로당,대구광역시 동구 송라로7길 10 (신천동),053-422-4333,신천1·2동
43,신천역더뷰파크아파트경로당,"대구광역시 동구 동부로 20, 관리동 (신천동,관리)",,신천1·2동
44,신천동서맨션경로당,대구광역시 동구 국채보상로155길 8 (신천동),,신천1·2동
45,신천역센트럴리버파크경로당,"대구광역시 동구 동부로 26 (신천동, 신천휴먼시아5단지)",053-255-0068,신천1·2동
46,신천휴먼시아6단지아파트경로당,대구광역시 동구 송라로11길 39 (신천동),053-422-4550,신천1·2동
47,신천3동제3경로당,대구광역시 동구 동부로15길 26-6(신천동),053-751-6015,신천3동
48,신천3동제2경로당,대구광역시 동구 송라로 28-5 (신천동),053-756-8088,신천3동
49,신천3동제1경로당,대구광역시 동구 송라로12길 5-1 (신천동),053-754-5251,신천3동
50,동대구삼환나우빌경로당,대구광역시 동구 동부로 81 (신천동),053-751-4338,신천3동
51,동양상가아파트경로당,대구광역시 동구 장등로 12 (신천동),053-759-9086,신천3동
52,신천청아람경로당,대구광역시 동구 송라로14길 132 (신천동),053-755-7740,신천3동
53,신천화성파크드림경로당,대구광역시 동구 송라로10길 34 (신천동),053-741-4023,신천3동
54,동대구반도유보라경로당,대구광역시 동구 송라로16길 11 (신천동),,신천3동
55,동대구역우방아이유쉘경로당,대구광역시 동구 동부로 115 (신천동),,신천3동
56,현대하이페리온 경로당,대구광역시 동구 국채보상로 861,,신천3동
57,신천4동제2경로당,대구광역시 동구 동부로32길 47-11 (신천동),053-756-9777,신천4동
58,코스모스아파트경로당,대구광역시 동구 화랑로11길 26 (신천동),053-751-3848,신천4동
59,동대구비스타동원 경로당,대구광역시 동구 화랑로 51(신천동),,신천4동
60,더샵디어엘로경로당,대구광역시 동구 화랑로 33(신천동),,신천4동
61,회관경로당,대구광역시 동구 아양로 50길 50-1 (효목동),053-959-3731,효목1동
62,효목경로당,대구광역시 동구 화랑로41길 14 (효목동),053-959-7822,효목1동
63,효일경로당,대구광역시 동구 효동로 114-1 (효목동),053-942-7273,효목1동
64,진로이스트타운경로당,대구광역시 동구 아양로 218 (효목동),053-941-2280,효목1동
65,강나루타운경로당,대구광역시 동구 효동로 108 (효목동),053-957-5341,효목1동
66,새마을경로당,대구광역시 동구 화랑로27길 24 (효목동),053-741-0024,효목2동
67,효목2동제일경로당,대구광역시 동구 화랑로19길 97 (효목동),053-756-6914,효목2동
68,소목골경로당,대구광역시 동구 효신로8길 50 (효목동),053-743-2358,효목2동
69,태왕메트로시티경로당,대구광역시 동구 동북로 500 (효목동),053-754-0651,효목2동
70,동대구2차비스타동원경로당,"대구광역시 동구 화랑로25길 60, 103동(효목동, 동대구2차비스타동원)",,효목2동
71,평광경로당,대구광역시 동구 도평로116길 18-3 (평광동),053-982-9597,도평동
72,도동제1경로당,대구광역시 동구 도평로 121 (도동),053-983-8845,도평동
73,도동제2경로당,대구광역시 동구 팔공로 26길 48 (도동),053-982-0856,도평동
74,에덴경로당,대구광역시 동구 팔공로26길 49 (도동),053-985-7303,도평동
75,향산경로당,대구광역시 동구 도평로51길 10 (도동),053-982-0972,도평동
76,봉무청구새들마을아파트경로당,대구광역시 동구 팔공로 322-5 (봉무동),053-981-0048,불로·봉무동
77,불로경로당,대구광역시 동구 팔공로23길 15 (불로동),053-982-6643,불로·봉무동
78,에덴공항경로당,대구광역시 동구 팔공로29길 10 (불로동),053-984-8469,불로·봉무동
79,해서경로당,대구광역시 동구 팔공로34길 1-2 (불로동),053-981-2524,불로·봉무동
80,에덴공항2차APT경로당,대구광역시 동구 팔공로33길 10 (불로동),053-986-0054,불로·봉무동
81,봉무경로당,대구광역시 동구 팔공로 333-12 (봉무동),053-981-8251,불로·봉무동
82,이시아폴리스더샵1차경로당,대구광역시 동구 팔공로53길 10 (봉무동),053-981-8814,불로·봉무동
83,이시아폴리스더샵2차경로당,대구광역시 동구 팔공로 274 (봉무동),053-986-8861,불로·봉무동
84,이시아폴리스더샵3차경로당,"대구광역시 동구 팔공로51길 10, 1층 (봉무동)",053-986-2766,불로·봉무동
85,이시아폴리스더샵4차경로당,대구광역시 동구 팔공로53길 40 (봉무동),053-985-1797,불로·봉무동
86,이시아폴리스협성휴포레경로당,"대구광역시 동구 팔공로260(봉무동,협성휴포레 이시아폴리스)",,불로·봉무동
87,강산아파트경로당,대구광역시 동구 해동로5길 23 (지저동),053-981-0054,지저동
88,공항경로당,대구광역시 동구 공항로 51길 12-4 (지저동),053-984-5887,지저동
89,지저경로당,대구광역시 동구 해동로2길 34 (지저동),053-981-5743,지저동
90,팔공아파트경로당,대구광역시 동구 해동로 54 (지저동),053-983-7912,지저동
91,부민스위트빌경로당,대구광역시 동구 해동로2길 37 (지저동),,지저동
92,제림햇빛촌아파트경로당,대구광역시 동구 공항로52길 28 (지저동),053-981-6866,지저동
93,불로우방아파트경로당,대구광역시 동구 공항로 150 (불로동),053-985-4015,지저동
94,불로제1경로당,대구광역시 동구 방천로2길 6 (불로동),053-984-4985,지저동
95,강변타운경로당,대구광역시 동구 방천로3길 30 (불로동),053-982-8529,지저동
96,제림빌리지APT경로당,대구광역시 동구 해동로6길 37 (불로동),,지저동
97,입석경로당,대구광역시 동구 동촌로1길 26 (입석동),053-981-4472,동촌동
98,동촌화성타운아파트경로당,대구광역시 동구 동촌로6길 3 (입석동),053-985-9818,동촌동
99,검사제1경로당,대구광역시 동구 해동로 178 (검사동),053-983-4036,동촌동
100,검사제2경로당,대구광역시 동구 방촌로1길 19 (검사동),053-985-3787,동촌동
101,문화아파트경로당,대구광역시 동구 동촌로14길 14 (검사동),053-985-2661,동촌동
102,금사리하이빌경로당,대구광역시 동구 해동로 254 (검사동),053-981-1162,동촌동
103,입석2경로당,대구광역시 동구 입석로3길 14-1 (입석동),053-981-8828,동촌동
104,태왕아너스르네상스 경로당,"대구광역시 동구 동촌로 100 (검사동, 태왕아너스르네상스아파트)",,동촌동
105,강변1차아파트경로당,대구광역시 동구 동촌로54길 13 (방촌동),053-985-5623,방촌동
106,강변2차아파트경로당,대구광역시 동구 동촌로56길 36 (방촌동),053-981-8890,방촌동
107,우방강촌마을APT경로당,대구광역시 동구 화랑로80길 8 (방촌동),053-983-9875,방촌동
108,방촌제1경로당,대구광역시 동구 동촌로 46길 40 (방촌동),053-983-0491,방촌동
109,보성강남아파트경로당,대구광역시 동구 화랑로88길 30 (방촌동),053-981-3343,방촌동
110,방촌우방맨션경로당,대구광역시 동구 화랑로 407 (방촌동),,방촌동
