연번,시설유형,시설명,소재지,전화번호,팩스번호,시설장
1,노인주거복지시설,흰돌실버타운,부산광역시 수영구 연수로260번길 53 (망미동),051-758-6237,051-758-6247,권동성
2,노인의료복지시설,성분도어버이집,부산광역시 수영구 수영로497번길 18 (광안동),051-752-2982,051-755-0433,강정선
3,노인의료복지시설,흰돌요양센터(목제관),부산광역시 수영구 연수로260번길 53-1 (망미동),051-751-0561,051-751-0564,유정빈
4,노인의료복지시설,은애너싱홈,부산광역시 수영구 광서로35번길 14 (광안동),051-759-1228,051-759-1224,홍순탁
5,노인의료복지시설,상락정배산실버빌,부산광역시 수영구 망미배산로76번나길 33 (망미동),051-756-0569,051-756-1807,이금순
6,노인의료복지시설,수영효도요양원,"부산광역시 수영구 과정로 49 (망미동, 수영효도요양원)",051-760-8000,051-760-8099,김태완
7,노인의료복지시설,고향의 집,부산광역시 수영구 망미배산로36번길 55 (망미동),051-752-8393,051-753-8393,김휘광
8,노인여가복지시설,수영구노인복지관,부산광역시 수영구 황령대로489번길 83 (남천동),051-759-6070,051-625-2870,이병호
9,노인여가복지시설,광안노인복지관,부산광역시 수영구 장대골로 75-8 (광안동),051-715-6099,051-715-6098,손정환
10,재가노인복지시설,수영재가노인지원서비스센터,"부산광역시 수영구 연수로 375, 4층 (수영동, 보광빌딩)",051-751-7272,051-751-4323,홍정숙
11,재가노인복지시설,백산실버주간보호센터,부산광역시 수영구 무학로69번길 60 (민락동),051-752-5744,051-752-5745,정미숙
12,재가노인복지시설,나래실버데이케어,"부산광역시 수영구 수영로 690-5, 12층 (광안동)",051-761-6701,051-761-6702,이창손
13,재가노인복지시설,웃는얼굴재가복지센터,"부산광역시 수영구 무학로9번길 141, 1401호 (광안동)",051-757-2330,051-753-2330,박소현
14,재가노인복지시설,스마일재가복지센터,"부산광역시 수영구 수영로 490, 2층 (남천동)",051-612-7759,051-612-7758,오수경
15,재가노인복지시설,가람재가방문요양센터,"부산광역시 수영구 수영로 621, 2층 2-3호 (광안동, 부광)",051-757-5835,051-757-5837,손정택
16,재가노인복지시설,하니데이케어센터,"부산광역시 수영구 광안해변로278번길 42, 2층 (민락동)",051-755-1017,051-755-1019,이상옥
17,재가노인복지시설,행복재가 광안 노인 지원센터,"부산광역시 수영구 수영로594번길 55, 1층 (광안동)",051-996-5268,051-996-5262,주이남
18,재가노인복지시설,효드림재가복지센터,"부산광역시 수영구 수영로666번길 6, 13층 1315호 (광안동)",051-756-1330,051-757-1330,정경옥
19,재가노인복지시설,마리재가복지센터,"부산광역시 수영구 광일로 59, 광원아파트 상가동 2층 221호 (광안동)",051-702-0666,051-702-0666,이봉현
20,재가노인복지시설,다사랑재가복지센터,"부산광역시 수영구 광안해변로15번길 54, 상가동 9호 (남천동)",051-624-1515,070-8668-1525,여복선
21,재가노인복지시설,간호샘재가센터,"부산광역시 수영구 연수로392번길 24, 1층 (광안동)",070-7585-3723,070-7585-5643,곽분선
22,재가노인복지시설,온누리재가노인복지센터,"부산광역시 수영구 장대골로 6, 202호 (광안동)",051-714-0530,051-714-0531,박종필
23,재가노인복지시설,실버노트재가복지센터,"부산광역시 수영구 연수로 320-1, 2층 (망미동)",051-745-9129,051-754-0129,정진희
24,재가노인복지시설,행복드림재가노인복지센터,"부산광역시 수영구 수영로464번길 22, 402호 (남천동)",051-715-4800,051-715-4801,김일부
25,재가노인복지시설,한가족재가복지센터,"부산광역시 수영구 수영로 533, 507호 (광안동, 성우센텀스카이뷰 에이)",051-761-2264,051-761-2265,이선엽
