시설명,소재지도로명주소,서비스내용,전화번호
울산광역시남구발달장애인평생교육센터,"울산광역시 남구 중앙로 311, 3,4층 (신정동)",기타복지시설,052-276-6600
울산남구중증장애인자립생활지원센터,"울산광역시 남구 남산로 320, 2층 (신정동)",기타복지시설,052-271-1200
울산광역시지적장애인자립지원센터,"울산광역시 남구 신남로 69-1, 2층 (신정동)",기타복지시설,052-276-1510
울산광역시노숙인자활지원센터(희망사랑방),"울산광역시 남구 봉월로 87, 2층 (신정동, 부영빌딩)",노숙인복지시설,052-247-8323
열린문교회노인교실,울산광역시 남구 삼산동 1509-17 ,노인여가복지시설,052-267-2897
향주노인대학,울산광역시 남구 신복로46번길 35-8 (무거동),노인여가복지시설,052-277-1644
울산실버건강대학,"울산광역시 남구 테크노산업로44번길 39-3, 1층 (두왕동)",노인여가복지시설,052-266-7654
도산노인복지관,울산광역시 남구 대암로129번길 4 (야음동),노인여가복지시설,052-265-5221
문수실버복지관,울산광역시 남구 대학로1번길 3-51 (무거동),노인여가복지시설,052-247-3740
울산광역시노인복지관,울산광역시 남구 삼산중로 136 (삼산동),노인여가복지시설,052-256-6820
선암호수노인복지관,울산광역시 남구 선암호수길 150 (선암동),노인여가복지시설,052-268-6080
라파노인요양센터,울산광역시 남구 거마로117번길 49 (신정동),노인의료복지시설,052-227-7220
다온 실버홈,울산광역시 남구 돋질로140번길 15 (달동),노인의료복지시설,052-260-1370
가온노인요양원,울산광역시 남구 산업로303번길 29 (선암동),노인의료복지시설,052-268-2056
울산요양원,울산광역시 남구 두왕로322번길 6-10 (신정동),노인의료복지시설,052-277-9000
느티나무노인요양원,울산광역시 남구 중앙로 287 (신정동),노인의료복지시설,052-258-5174
행복사랑요양원,울산광역시 남구 번영로 178-1 (달동),노인의료복지시설,052-261-5055
울산남구시니어클럽,"울산광역시 남구 두왕로 337, 1층 (신정동, 공업탑 빌딩)",노인일자리지원기관,052-258-6789
울산남구가족센터,울산광역시 남구 여천로12번길 해피투게더타운 지하1 층,다문화가족복지시설,052-274-3136
울산광역시 남구 다함께돌봄센터(대현다함께돌봄센터),"울산광역시 남구 대암로90번길 34, 2층 (야음동)",다함께돌봄센터,052-984-0098
울산광역시 남구 이진다함께돌봄센터,"울산광역시 남구 도산로 9, 102동 104호 (달동)",다함께돌봄센터,052-257-3384
울산광역시 남구 삼호다함께돌봄센터,"울산광역시 남구 삼호로149번길 22 (무거동, 와와커뮤니티센터 1층)",다함께돌봄센터,052-225-3005
울산광역시 가정위탁지원센터,"울산광역시 남구 중앙로 216, 4층 (신정동)",아동복지시설,052-286-4678
요셉의 집,"울산광역시 남구 대암로 82, 202동 202호 (야음동)",아동복지시설,052-266-0920
행복하우스,"울산광역시 남구 문수로 355번길 51, 101동 402호",아동복지시설,052-257-3800
일곱 빛 공동생활가정,"울산광역시 남구 어은로18번길 4-1, 1층 (무거동)",아동복지시설,052-261-0010
바른마음 공동생활가정,"울산광역시 남구 두왕로272번길 17-27, 301호 (신정동, 삼미타워맨숀)",아동복지시설,708-840-0205
