시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울특별시,종로구,일반,남자,65세미만,36 ,0 ,*,8 ,5 ,*,0 ,*,5 ,*
서울특별시,종로구,일반,남자,65-69세,57 ,*,0 ,12 ,11 ,*,0 ,10 ,*,*
서울특별시,종로구,일반,남자,70-74세,76 ,6 ,7 ,14 ,15 ,*,*,8 ,0 ,0 
서울특별시,종로구,일반,남자,75-79세,105 ,*,5 ,26 ,31 ,*,*,*,*,*
서울특별시,종로구,일반,남자,80-84세,160 ,9 ,11 ,32 ,50 ,9 ,6 ,15 ,0 ,*
서울특별시,종로구,일반,남자,85세이상,285 ,20 ,33 ,69 ,85 ,9 ,8 ,14 ,*,*
서울특별시,종로구,일반,여자,65세미만,34 ,0 ,5 ,7 ,*,*,0 ,*,*,*
서울특별시,종로구,일반,여자,65-69세,67 ,*,6 ,12 ,9 ,*,0 ,9 ,*,0 
서울특별시,종로구,일반,여자,70-74세,98 ,5 ,*,24 ,19 ,*,*,9 ,*,0 
서울특별시,종로구,일반,여자,75-79세,204 ,5 ,9 ,27 ,56 ,18 ,*,20 ,7 ,*
서울특별시,종로구,일반,여자,80-84세,419 ,20 ,21 ,89 ,124 ,36 ,6 ,29 ,11 ,*
서울특별시,종로구,일반,여자,85세이상,640 ,53 ,83 ,191 ,186 ,41 ,*,12 ,10 ,*
서울특별시,종로구,기초,남자,65세미만,21 ,0 ,*,5 ,8 ,0 ,0 ,*,*,0 
서울특별시,종로구,기초,남자,65-69세,39 ,*,0 ,7 ,11 ,*,*,*,*,*
서울특별시,종로구,기초,남자,70-74세,27 ,*,0 ,5 ,8 ,*,*,*,*,*
서울특별시,종로구,기초,남자,75-79세,18 ,*,0 ,*,6 ,*,0 ,0 ,*,*
서울특별시,종로구,기초,남자,80-84세,23 ,*,*,*,8 ,*,*,*,*,*
서울특별시,종로구,기초,남자,85세이상,15 ,0 ,*,0 ,*,*,*,*,*,*
서울특별시,종로구,기초,여자,65세미만,9 ,*,*,*,*,0 ,*,0 ,*,0 
서울특별시,종로구,기초,여자,65-69세,11 ,0 ,*,*,*,0 ,0 ,*,*,0 
서울특별시,종로구,기초,여자,70-74세,22 ,*,*,*,9 ,*,0 ,*,*,0 
서울특별시,종로구,기초,여자,75-79세,34 ,0 ,*,5 ,13 ,*,*,*,*,0 
서울특별시,종로구,기초,여자,80-84세,49 ,*,*,8 ,20 ,*,*,*,*,*
서울특별시,종로구,기초,여자,85세이상,84 ,8 ,15 ,18 ,26 ,6 ,0 ,*,*,*
서울특별시,종로구,의료,남자,65-69세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,종로구,의료,남자,75-79세,*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,종로구,의료,남자,85세이상,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,종로구,의료,여자,65-69세,*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,종로구,의료,여자,70-74세,*,0 ,0 ,0 ,*,0 ,0 ,0 ,0 ,0 
서울특별시,종로구,의료,여자,75-79세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,종로구,의료,여자,80-84세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,종로구,의료,여자,85세이상,7 ,0 ,*,*,*,0 ,0 ,0 ,0 ,0 
서울특별시,종로구,감경,남자,65세미만,11 ,0 ,*,5 ,*,*,*,0 ,0 ,0 
서울특별시,종로구,감경,남자,65-69세,18 ,0 ,*,*,11 ,0 ,0 ,0 ,0 ,0 
서울특별시,종로구,감경,남자,70-74세,23 ,0 ,*,10 ,7 ,*,*,0 ,0 ,0 
서울특별시,종로구,감경,남자,75-79세,34 ,*,7 ,5 ,13 ,*,0 ,0 ,0 ,0 
서울특별시,종로구,감경,남자,80-84세,48 ,*,*,17 ,14 ,*,*,0 ,0 ,0 
