연번,시도,시군구,시설명,시설종류,영업상태,주소,전화번호
1,대전광역시,동구,동구정다운어르신복지관,노인여가복지시설,운영,대전광역시 동구 충정로 53-30(가양동),042-626-2736
2,대전광역시,동구,동구행복한어르신복지관,노인여가복지시설,운영,대전광역시 동구 동부로 23(판암동),042-282-5910
3,대전광역시,동구,With 다솜요양원,노인의료복지시설,운영,대전광역시 동구 우암로 234 (가양동),042-639-6061
4,대전광역시,동구,가원요양원,노인의료복지시설,운영,대전광역시 동구 우암로 351 (가양동),042-625-2904
5,대전광역시,동구,가은실버홈,노인의료복지시설,운영,대전광역시 동구 동중앙로 108-3 (자양동),042-626-7558
6,대전광역시,동구,금성노인요양원,노인의료복지시설,운영,대전광역시 동구 산내로560번길 18-13 (상소동),042-274-4700
7,대전광역시,동구,나날요양원,노인의료복지시설,운영,대전광역시 동구 태전로 5 (중동),042-226-7575
8,대전광역시,동구,대전기독요양원,노인의료복지시설,운영,"대전광역시 동구 계족로 189, 1층 (대동)",042-719-7578
9,대전광역시,동구,대전노인요양원,노인의료복지시설,운영,대전광역시 동구 신기로 109-22 (가오동),042-283-6304
10,대전광역시,동구,대전실버빌,노인의료복지시설,운영,대전광역시 동구 용운로147번길 9-7 (용운동),042-272-0999
11,대전광역시,동구,대전실버요양원,노인의료복지시설,운영,대전광역시 동구 대전로316번길 43 (대성동),042-285-0025
12,대전광역시,동구,대전요양원,노인의료복지시설,운영,대전광역시 동구 동서대로1695번길 82 (용전동),042-631-7300
13,대전광역시,동구,밝은요양원,노인의료복지시설,운영,대전광역시 동구 대전로 354-7 (대성동),042-286-2863
14,대전광역시,동구,부모애공동생활가정,노인의료복지시설,운영,"대전광역시 동구 동서대로 1614, 2층 (성남동)",042-626-0142
15,대전광역시,동구,산내노인종합센터,노인의료복지시설,운영,대전광역시 동구 산내로1287번길 73 (낭월동),042-285-6800
16,대전광역시,동구,새빛사랑의집,노인의료복지시설,운영,대전광역시 동구 산내로 960 (삼괴동),042-321-8118
17,대전광역시,동구,엄마아빠요양원,노인의료복지시설,운영,대전광역시 동구 동부로 15 (판암동),042-721-5015
18,대전광역시,동구,예람재활요양원,노인의료복지시설,운영,"대전광역시 동구 보문로 4, 601호 (효동)",042-271-9805
19,대전광역시,동구,예명요양원,노인의료복지시설,운영,"대전광역시 동구 동부로73번길 6, 5층 (판암동)",042-283-2015
20,대전광역시,동구,예스시니어,노인의료복지시설,운영,대전광역시 동구 옥천로 131-17 (판암동),042-286-2700
21,대전광역시,동구,온누리노인요양원,노인의료복지시설,운영,대전광역시 동구 이사로 68-21 (이사동),042-282-0717
22,대전광역시,동구,올리브요양원,노인의료복지시설,운영,"대전광역시 동구 우암로 159, 4층 (성남동)",042-712-5005
23,대전광역시,동구,이엘요양원,노인의료복지시설,운영,대전광역시 동구 한밭대로 1233 (용전동),042-624-9988
24,대전광역시,동구,임마누엘실버홈,노인의료복지시설,운영,대전광역시 동구 신기로 109-21 (판암동),042-284-5288
25,대전광역시,동구,큰사랑요양원,노인의료복지시설,운영,"대전광역시 동구 백룡로 81, 2,3층 (용운동, 보성빌딩)",042-285-5400
26,대전광역시,동구,파나마실버케어,노인의료복지시설,운영,대전광역시 동구 옥천로 195 (판암동),042-331-2863
27,대전광역시,동구,판암요양원,노인의료복지시설,운영,대전광역시 동구 옥천로106번길 115 (판암동),042-719-8877
28,대전광역시,동구,평화실버하우스,노인의료복지시설,운영,"대전광역시 동구 대전로 825, 2층 (정동)",042-256-1700
29,대전광역시,동구,플래티늄,노인의료복지시설,운영,대전광역시 동구 새울로 10-12 (판암동),042-721-2000
30,대전광역시,동구,하나요양원,노인의료복지시설,운영,"대전광역시 동구 은어송로 62, 6층 (가오동, 지오빌딩)",042-282-8500
31,대전광역시,동구,한국요양원,노인의료복지시설,운영,대전광역시 동구 동서대로1668번길 11 (성남동),042-623-8868
32,대전광역시,동구,한울노인요양원,노인의료복지시설,운영,"대전광역시 동구 대전로 696, 2층 (인동)",042-285-1288
33,대전광역시,동구,해드림실버요양원,노인의료복지시설,운영,대전광역시 동구 동구청로 95 (가오동),042-284-1234
34,대전광역시,동구,해피엔젤요양센터(대동점),노인의료복지시설,운영,대전광역시 동구 계족로 184-38 (대동),042-628-2323
35,대전광역시,동구,행복드림노인전문요양원,노인의료복지시설,운영,대전광역시 동구 태전로 72 (삼성동),042-605-1004
36,대전광역시,동구,1급사회복지사 이후연 재가노인방문요양센터,재가노인복지시설,운영,대전광역시 동구 대동초등3길 32 (대동),042-382-2879
37,대전광역시,동구,always 영광노인복지센터,재가노인복지시설,운영,"대전광역시 동구 은어송로51번길 54, 101호 (가오동, 평화주택)",042-286-7003
38,대전광역시,동구,e-행복재가복지센터,재가노인복지시설,운영,"대전광역시 동구 백룡로 129, 302호 (용운동)",042-300-9891
39,대전광역시,동구,가양재가복지센터,재가노인복지시설,운영,"대전광역시 동구 동대전로 286, 4층 (가양동)",042-721-7942
40,대전광역시,동구,가온누리노인복지센터,재가노인복지시설,운영,"대전광역시 동구 보문로 4, 501호 (효동)",042-271-9805
